firstname	commonname	playerjerseyname	surname	playerid
Leonardo	Leonardo	Leonardo	da Silva Souza	4722
Bruno	Bruninho	Bruninho	Souza	4723
Enzo	Enzo	Enzo	Meirelles	4724
João Vítor	Vítor	Vítor	Cardoso	4725
Michel	Sorriso	Sorriso	Rosa	4726
Pedro	Pedrinho	Pedrinho	Otávio	4727
Thiago	Thiago	Thiago	Andrade	4728
Daniel	Daniel Costa	Daniel Costa	Costa	4729
Walter	Luízão	Luízão	Araújo	4730
Luíz Carlos	Luízão Nascimento	Luízão	Junior	4731
Wilson	Wilson Júnior	Wilson Júnior	Júnior	4732
Cristiano	Cristiano	Cristiano	da Silva Santos	4733
Kriguer	Kriguer	Kriguer	Antunes	4734
Victor	Victor Bolt	Victor Bolt	Gomes Lemos	4735
Carlos Eduardo	Thomazella	Thomazella	Thomazella	4736
Caio Henrique	Caio Dantas	Caio Dantas	Dantas	4737
Arilson Carlos	Arilson	Arilson	Baptista	4738
Kevin		Kevin Quejada	Quejada	4739
Diego Gabriel	Diego Rosa	Diego Rosa	Silva Rosa	4740
Leonardo		Leonardo Pais	Pais	4741
Danilo	Danilo Avelar	Danilo Avelar	Avelar	4742
Alexandre	Alemão	Alemão	Zurawski	4743
José Vitor	Zé Vitor	Zé Vitor	Cardoso	4744
Isaac	Isaac	Isaac	Valença	4745
Gabriel	Gabriel	Gabriel	dos Santos  Ribeiro	4746
Jean Carlos	Jean Carlos	Jean Carlos	Bonora	4747
Arthur Henrique	Arthur Henrique	Arthur Henrique	Santos	4748
Hayner	Hayner	Hayner	Cordeiro	4749
Sebastian		Joffre	Joffre	4750
Rafael William	Rafael William	Rafael William	Pinheiro	4751
Guillermo		De Los Santos	De los Santos	4752
Diego Porfírio	Diego Porfírio	Diego Porfírio	Da Silva	4753
Emerson Gustavo	Emerson Santos	Emerson Santos	Santos	4754
Sérgio Ricardo	Serginho	Serginho	Santos Junior	4755
Rodrigo	Rodrigo Varanda	R. Varanda	Varanda	4756
Francisco Edson	Edinho	Edinho	da Silva	4757
Vítor Hugo	Vitinho	Vitinho	Santos	4758
Victor	Victor Andrade	Victor Andrade	Andrade dos Santos	4759
Arian	Arian	Arian	Oliveira Lima	4760
Adailson	Dadá Belmonte	D Belmonte	Pereira da Silva	4761
Reginaldo	Reginaldo	Reginaldo	Santos Moreira	4762
Yan	Yan Souto	Yan Souto	Souto	4763
Harley D'Lincon	Lincon	Lincon	Ribeiro da Rocha	4764
Nathan	Nathan	Nathan	Melo Silva	4765
Hugo	Hugo	Hugo	Ferreira de Farias	4766
Pablo Dyego	Pablo Dyego	Pablo Dyego	da Silva Rosa	4767
Roberto	Roberto	Roberto	Zardin Rodrigues	4768
João Vítor	João Cabral	J Cabral	Cabral de Freitas	4769
Weide	Andrade	Andrade	Andrade Barbosa	4770
Henrique	Henrique	Henrique	Medeiros Lopes	4771
Luíz Felipe	Luíz Felipe	Luíz Felipe	Silverio Silva	4772
Gregory	Gregory	Gregory	Xavier	4773
André	André	André	Santiago da Silva	4774
Ronaldo Cézar	Ronaldo	Ronaldo	Santos	4775
Marcelo Ryan	Marcelo Ryan	M Ryan	dos Santos	4776
Arthur 	Arthur Chaves	Arthur Chaves	Largura Chaves	4777
Pablo	Pablo Maia	Pablo Maia	Maia	4778
Habraão	Habraão	Habraão	Saraiva	4779
Igor	Igor Torres	Igor Torres	Torres da Silva	4780
João Victor	Da Silva	Da Silva	da Silva	4781
Reynaldo César	Reynaldo	Reynaldo	Moraes	4782
Éverson	Éverson	Éverson	Bispo Pereira	4783
Douglas	Douglas Borel	Douglas Borel	Torres	4784
